Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15, C18, C4, C6, C8, C9",0402,8,100nF/50V,C307331
"C10, C13, C3",0805,3,1uF/50V,C28323
C11,0402,1,470pF/50V,C1537
"C14, C17, C19, C2, C28, C5, C7",0805,7,10uF/25V,C15850
"C16, C27",1206,2,22uF/10V,C5672
C20,1206,1,1nF/2kV,C161353
"C21, C23",0805,2,100nF/100V,C28233
C22,CP_Elec_8x10.5,1,22uF/100V,C178570
C24,0603,1,12pF/50V,C38523
C25,CP_Elec_8x10.5,1,470uF/16V,C96179
C26,0402,1,22pF/50V,C1555
D1,SOT-23-6,1,USBLC6-2SC6,C7519
"D10, D13, D14, D9",D_SOD-123,4,1N4148,C81598
"D11, D12, D15, D16, D8",0603,5,WHITE,C2290
D2,SOT-23-5,1,ESDS314DBV,C1847859
D3,0603,1,WHITE/0603,C2290
D4,D_SMA,1,SMAJ58A,C132936
D5,D_SMA,1,SS510,C65010
"D6, D7",D_SMA,2,SS34,C8678
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,C2765186
J2,RJ45_HanRun_HY931147C,1,RJ45 JACK,C91754
"J3, J4, J5, J6",TerminalBlock_Wago_250-202_1x02_P3.5mm_45Degree,4,250-202,C2765061
"K1, K2, K3, K4",Relay_SPST_Omron_G5NB-1A,4,G5NB-1A-E-DC5,C48746
L1,0805,1,2A/600R,C139168
L2,L_12x12mm_H6mm,1,"33uH/2,1A",C169386
L3,L_3x3mm_H1.5mm,1,"2,2uH/1,5A",C370424
Q1,SOT-363_SC-70-6,1,UMH3N,C62892
Q2,SOT-23,1,WPM2015-3/TR,C558305
Q3,SOT-23,1,LMUN2211LT1G,C150229
"Q4, Q5, Q6, Q7",SOT-23,4,MMBT2222A,C8512
"R1, R10, R13, R16, R22, R29, R43, R44, R49, R50",0402,10,10k,C25744
"R11, R12",0402,2,"5,1k",C105872
R14,0402,1,33R,C25105
"R15, R37",0402,2,300R,C25102
"R17, R19, R20, R21",0402,4,"49,9R",C25120
R18,0402,1,"12,1k",C25852
R2,0402,1,1.5k,C25867
"R23, R25",0402,2,330R,C25104
"R24, R41, R42, R47, R48",0402,5,1k,C11702
R26,0402,1,"30,1k",C138009
R27,0402,1,130k,C93946
R28,0402,1,180k,C138046
"R3, R4, R5, R6, R7, R8, R9",0402,7,2.2k,C25879
R30,2512,1,"4,7k/1W",C878291
R31,0603,1,"4,42k/100mW",C482858
R32,0603,1,"5,1R/100mW",C25197
R33,1206,1,30mR/250mW,C473665
R34,0603,1,300k/100mW,C23024
R35,0603,1,"52,3k/100mW",C185323
R36,0805,1,"100k/0,125W",C149504
R38,0805,1,"22,1k/0,125W",C17552
"R39, R40, R45, R46",0402,4,680R,C25130
SW1,SW_SPST_Xunpu_TS1088AR02016,1,RESET,C720477
U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,C968586
U2,ESP32-WROOM-32U,1,ESP32-WROOM-32UE-N16,C701346
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,1,LAN8710A,C46185
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,1,TPS2376DDAR-H,C544899
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm_ThermalVias,1,TX4138,C329267
U6,SOT-23-5_Shorter_Pins,1,SY8089A1AAC,C479074
