Designator,Mid X,Mid Y,Rotation,Layer
C1,65.0,33.75,90.0,top
C10,72.0,30.0,0.0,top
C11,71.75,31.5,0.0,top
C12,64.75,24.5,180.0,top
C13,39.0,37.75,270.0,top
C14,61.75,28.25,90.0,top
C15,58.0,21.0,180.0,top
C16,73.75,40.5,270.0,top
C17,64.5,38.75,270.0,top
C18,66.0,38.75,270.0,top
C19,62.0,38.75,270.0,top
C2,66.5,34.5,90.0,top
C20,53.0,3.5,270.0,top
C21,78.5,6.0,270.0,top
C22,94.5,7.5,90.0,top
C23,84.75,20.25,90.0,top
C24,80.975,16.0,180.0,top
C25,78.5,33.75,90.0,top
C26,87.25,40.5,270.0,top
C27,81.5,41.0,90.0,top
C28,97.25,41.0,90.0,top
C3,50.0,9.5,0.0,top
C4,47.0,9.75,180.0,top
C5,42.0,18.25,0.0,top
C6,42.0,19.75,0.0,top
C7,39.0,41.25,90.0,top
C8,37.5,40.75,90.0,top
C9,71.5,26.5,0.0,top
D1,50.0,12.75,0.0,top
D10,3.75,42.25,0.0,top
D11,13.0,42.25,0.0,top
D12,25.25,39.5,270.0,top
D13,34.5,39.5,270.0,top
D14,22.25,42.25,0.0,top
D15,31.5,42.25,0.0,top
D2,70.25,22.0,180.0,top
D3,75.5,7.0,270.0,top
D4,84.0,25.5,90.0,top
D5,94.5,33.0,270.0,top
D6,90.75,33.0,270.0,top
D7,85.0,35.0,0.0,top
D8,6.75,39.5,270.0,top
D9,16.0,39.5,270.0,top
J1,46.25,4.91,0.0,top
J2,63.21,11.225,0.0,top
J3,6.0,8.25,0.0,top
J4,15.249935,8.25,0.0,top
J5,24.5,8.25,0.0,top
J6,33.75,8.25,0.0,top
K1,4.5,25.5,270.0,top
K2,13.75,25.5,270.0,top
K3,23.0,25.5,270.0,top
K4,32.25,25.5,270.0,top
L1,63.25,41.5,180.0,top
L2,92.5,21.75,270.0,top
L3,84.75,41.0,270.0,top
Q1,52.75,21.5,270.0,top
Q2,69.25,41.5,0.0,top
Q3,69.25,38.5,180.0,top
Q4,2.5,39.0,90.0,top
Q5,11.75,39.0,90.0,top
Q6,21.0,39.0,90.0,top
Q7,30.25,39.0,90.0,top
R1,55.25,22.0,270.0,top
R10,41.5,22.75,180.0,top
R11,40.25,7.5,90.0,top
R12,52.25,7.5,90.0,top
R13,37.5,38.75,270.0,top
R14,60.25,30.25,90.0,top
R15,61.75,31.0,90.0,top
R16,62.25,21.0,180.0,top
R17,71.5,25.5,0.0,top
R18,62.25,22.5,180.0,top
R19,62.25,23.5,180.0,top
R2,62.0,33.75,270.0,top
R20,62.25,24.5,180.0,top
R21,71.75,42.0,270.0,top
R22,53.75,15.25,90.0,top
R23,71.75,40.0,270.0,top
R24,73.75,15.25,270.0,top
R25,80.25,8.25,270.0,top
R26,87.5,9.5,180.0,top
R27,83.5,9.5,0.0,top
R28,85.5,9.5,180.0,top
R29,80.75,12.5,180.0,top
R3,68.0,34.0,270.0,top
R30,80.25,5.75,270.0,top
R31,83.0,19.25,270.0,top
R32,79.75,26.0,0.0,top
R33,84.25,16.0,180.0,top
R34,78.0,16.0,180.0,top
R35,88.75,41.0,270.0,top
R36,87.75,35.0,180.0,top
R37,90.75,41.0,90.0,top
R38,6.25,42.5,180.0,top
R39,15.5,42.5,180.0,top
R4,69.0,34.0,270.0,top
R40,4.75,40.0,270.0,top
R41,14.0,40.0,270.0,top
R42,4.75,38.0,270.0,top
R43,14.0,38.0,270.0,top
R44,24.75,42.5,180.0,top
R45,34.0,42.5,180.0,top
R46,23.25,40.0,270.0,top
R47,32.5,40.0,270.0,top
R48,23.25,38.0,270.0,top
R49,32.5,38.0,270.0,top
R5,63.0,33.75,270.0,top
R6,70.0,34.0,270.0,top
R7,64.0,33.75,270.0,top
R8,71.75,32.5,180.0,top
R9,71.75,33.5,180.0,top
SW1,47.5,21.25,0.0,top
U1,43.5,13.75,90.0,top
U2,49.75,33.75,0.0,top
U3,66.75,28.5,270.0,top
U4,86.0,5.75,270.0,top
U5,79.25,21.0,180.0,top
U6,94.0,41.0,0.0,top
